,EAR,Gen. Avg. Thresh,Predicted Blink Pairs with Gen. Avg. Thresh,TP with Gen. Avg. Thresh,FP with Gen. Avg. Thresh,FN with Gen. Avg. Thresh,Precision with Gen. Avg. Thresh,Recall with Gen. Avg. Thresh,Two Consecutive Frame Thresh ,Predicted Blink Pairs with TCFT,TP with TCFT,FP with TCFT,FN with TCFT,Precision with TCFT,Recall with TCFT,0.2 Thresh,Predicted Blink Pairs with H2T,TP with H2T,FP with H2T,FN with H2T,Precision with H2T,Recall with H2T,0.25 Thresh,Predicted Blink Pairs with H25T,TP with H25T,FP with H25T,FN with H25T,Precision with H25T,Recall with H25T,0.3 Thresh,Predicted Blink Pairs with H3T,TP with H3T,FP with H3T,FN with H3T,Precision with H3T,Recall with H3T,0.35 Thresh,Predicted Blink Pairs with H35T,TP with H35T,FP with H35T,FN with H35T,Precision with H35T,Recall with H35T
0,0.3398833729799221,0.2812521503505381,"[37, 43]","[37, 43]",,"[120, 132]",0.6666666666666666,0.6666666666666666,0.2760774866953146,"[37, 43]","[37, 43]",,"[120, 132]",0.6666666666666666,0.6666666666666666,0.2,"[37, 41]","[37, 41]",,"[120, 132]",0.6666666666666666,0.6666666666666666,0.25,"[37, 42]","[37, 42]",,"[120, 132]",0.6666666666666666,0.6666666666666666,0.3,"[37, 43]","[37, 43]",,"[120, 132]",0.6666666666666666,0.6666666666666666,0.35,"[1, 1]","[36, 51]","[1, 1]","[120, 132]",0.125,0.6666666666666666
1,0.36469881684184974,,"[85, 91]","[85, 91]",,,,,,"[85, 91]","[85, 91]",,,,,,"[85, 91]","[85, 91]",,,,,,"[85, 91]","[85, 91]",,,,,,"[84, 94]","[84, 94]",,,,,,"[3, 3]","[84, 102]","[3, 3]",,,
2,0.3485781698363707,,"[130, 138]",,,,,,,"[130, 138]",,,,,,,"[134, 136]",,,,,,,"[130, 137]",,,,,,,"[130, 138]",,,,,,,"[6, 6]",,"[6, 6]",,,
3,0.35635010202025097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9, 9]",,"[9, 9]",,,
4,0.3650338051340405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[13, 13]",,"[13, 13]",,,
5,0.3333417592669975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[16, 16]",,"[16, 16]",,,
6,0.3535556390620869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[20, 20]",,"[20, 20]",,,
7,0.35448261905561307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[36, 51]",,"[54, 54]",,,
8,0.3485781698363707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[54, 54]",,"[108, 108]",,,
9,0.36463393040422143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[84, 102]",,"[111, 111]",,,
10,0.35844286056453367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[108, 108]",,"[115, 115]",,,
11,0.37218641344407366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[111, 111]",,"[120, 120]",,,
12,0.3420551244596577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[115, 115]",,"[123, 123]",,,
13,0.36169721240760033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[120, 120]",,,,,
14,0.36918959658488126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[123, 123]",,,,,
15,0.34934869654264666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[130, 146]",,,,,
16,0.3515755270981319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.35877760478141035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.3647326309868733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.34756610202731514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.3697052930471859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
